distance_km,num_waypoints,response_time_s,energy,is_valid,orig_dest,fly_zone,avoid_polygons,model,mode,memory
287.48429820173936,30,118.01036095619202,0.0,True,True,True,True,o3-mini,Hard,False
261.66154889550967,10,3.7817492485046387,0.0,False,True,True,False,claude-3-7,Hard,False
261.6532053074862,12,5.8738274574279785,0.0,False,True,True,False,claude-3-7,Hard,False
261.7019132292644,11,3.977039337158203,0.0,True,True,True,True,claude-3-7,Hard,True
252.79631022160265,8,2.907592535018921,0.0,False,True,True,False,claude-3-7,Hard,False
252.7682952012509,11,3.8248465061187744,0.0,False,True,True,False,claude-3-7,Hard,True
265.03637646276013,13,5.10775089263916,0.0,False,True,True,False,claude-3-7,Hard,False
264.5139182215577,16,4.634427547454834,0.0,False,True,True,False,claude-3-7,Hard,True
256.0096157908433,10,3.4746763706207275,0.0,False,True,True,False,claude-3-7,Hard,False
255.54218558325275,12,5.325982093811035,0.0,False,True,True,False,claude-3-7,Hard,True
261.582403028015,4,2.3592941761016846,0.0,False,True,True,False,claude-3-5,Hard,True
253.12641936566132,5,3.9877498149871826,0.0,False,True,True,False,claude-3-5,Hard,False
252.70083176491036,4,2.598040819168091,0.0,False,True,True,False,claude-3-5,Hard,True
261.6273630589622,8,3.7334234714508057,0.0,False,True,True,False,claude-3-7,Hard,False
261.6489444988394,9,5.956688642501831,0.0,False,True,True,False,claude-3-7,Hard,True
252.7763311198303,14,4.7853662967681885,0.0,False,True,True,False,claude-3-7,Hard,False
252.86713440738885,9,4.37361741065979,0.0,False,True,True,False,claude-3-7,Hard,True
264.5337325327831,11,4.466686010360718,0.0,False,True,True,False,claude-3-7,Hard,False
264.4512621549615,10,3.9744155406951904,0.0,False,True,True,False,claude-3-7,Hard,True
255.53280327125026,11,4.189415693283081,0.0,False,True,True,False,claude-3-7,Hard,False
255.76939679660848,13,4.779006242752075,0.0,False,True,True,False,claude-3-7,Hard,True
336.29727812601277,5,3.4042036533355713,0.0,False,True,True,False,claude-3-5,Hard,False
262.0897546532965,9,6.078852891921997,0.0,False,True,True,False,claude-3-5,Hard,True
261.5326974542265,6,3.19559383392334,0.0,False,True,True,False,claude-3-5,Hard,False
253.23033355326692,9,3.9024531841278076,0.0,False,True,True,False,claude-3-5,Hard,True
264.5978917948621,4,2.6397738456726074,0.0,False,True,True,False,claude-3-5,Hard,False
264.49178597620244,6,3.420257329940796,0.0,False,True,True,False,claude-3-5,Hard,True
255.49204203670126,5,3.272857189178467,0.0,False,True,True,False,claude-3-5,Hard,False
255.54166288506886,6,3.431053400039673,0.0,False,True,True,False,claude-3-5,Hard,True
261.6474561728927,4,2.475999593734741,0.0,False,True,True,False,gpt-4o,Hard,False
261.6739493525715,6,3.9341139793395996,0.0,False,True,True,False,gpt-4o,Hard,True
252.7672760830632,5,6.132307529449463,0.0,False,True,True,False,gpt-4o,Hard,False
252.72022705643724,8,2.7422099113464355,0.0,False,True,True,False,gpt-4o,Hard,True
264.43427690368725,4,1.8027572631835938,0.0,False,True,True,False,gpt-4o,Hard,False
264.4387770774175,5,3.2715353965759277,0.0,False,True,True,False,gpt-4o,Hard,True
255.55142277254095,5,1.9818878173828125,0.0,False,True,True,False,gpt-4o,Hard,False
255.54398493000534,6,2.596461534500122,0.0,False,True,True,False,gpt-4o,Hard,True
256.64128613447104,17,1.0280959606170654,0.0,True,True,True,True,Astar,Hard,False
259.0406364902515,11,7.856418609619141,0.0,False,True,True,False,claude-3-7,Hard,False
261.6566007886216,8,6.687185525894165,0.0,False,True,True,False,claude-3-7,Hard,False
261.67740852891825,10,15.71813678741455,0.0,True,True,True,True,claude-3-7,Hard,True
252.75518793435882,7,20.880655527114868,0.0,False,True,True,False,claude-3-7,Hard,False
252.75481686900457,16,24.95211172103882,0.0,False,True,True,False,claude-3-7,Hard,True
264.61170010991293,11,5.403233766555786,0.0,False,True,True,False,claude-3-7,Hard,False
264.52589521941485,11,16.57745051383972,0.0,False,True,True,False,claude-3-7,Hard,True
255.75275850444478,12,7.6876208782196045,0.0,False,True,True,False,claude-3-7,Hard,False
255.55747364776445,12,5.965154647827148,0.0,False,True,True,False,claude-3-7,Hard,True
262.04071103031055,14,5.104361057281494,0.0,False,True,True,False,gpt-4o,Hard,False
261.6199177057469,7,4.5400390625,0.0,False,True,True,False,gpt-4o,Hard,True
252.7239211004101,5,6.172953128814697,0.0,False,True,True,False,gpt-4o,Hard,False
252.83342064647897,5,2.7426528930664062,0.0,False,True,True,False,gpt-4o,Hard,True
264.4235713249485,6,3.181150197982788,0.0,False,True,True,False,gpt-4o,Hard,False
264.712510748223,5,2.234905958175659,0.0,False,True,True,False,gpt-4o,Hard,True
255.50269731736591,5,3.1338248252868652,0.0,False,True,True,False,gpt-4o,Hard,False
255.53474041960544,5,1.890127420425415,0.0,False,True,True,False,gpt-4o,Hard,True
261.8955762709169,12,30.63573908805847,0.0,True,True,True,True,o3-mini,Hard,False
261.7386453122463,7,95.26041197776794,0.0,False,True,False,True,o3-mini,Hard,True
252.893375618566,11,71.56894540786743,0.0,True,True,True,True,o3-mini,Hard,False
252.7680564236785,5,34.797767162323,0.0,False,True,True,False,o3-mini,Hard,True
264.64950992233014,6,58.750627279281616,0.0,True,True,True,True,o3-mini,Hard,False
287.4736887688014,14,35.825881481170654,0.0,False,True,False,True,o3-mini,Hard,True
257.5427002565831,10,153.49573016166687,0.0,True,True,True,True,o3-mini,Hard,False
257.3889024070195,8,83.86817145347595,0.0,True,True,True,True,o3-mini,Hard,True
